MULakeNumber,Lake name,Date,Time,Parameter,SecchiDepth_m,Comments
30,Wappapello ,6/27/2023,5:35:00 PM,Secchi ,0.4,
39,Council bluff,6/28/2023,12:46:00 PM,Secchi,1.1,
39,Council bluff,6/28/2023,12:46:00 PM,Secchi ,1,
33,Forche Creek Lake ,6/28/2023,7:57:00 AM,Secchi,4.1,
33,Forche Creek Lake ,6/28/2023,7:57:00 AM,Secchi ,3.9,
110,Little Prarie,6/28/2023,4:15:00 PM,Secchi,1.1,
110,Little Prarie,6/28/2023,4:15:00 PM,Secchi ,1,
32,Ripley,6/28/2023,9:04:00 AM,Secchi,1.7,
32,Ripley ,6/28/2023,9:04:00 AM,Secchi ,1.6,
440,Crow Pond,6/29/2023,11:30:00 AM,Secchi,1.2,
440,Crow Pond,6/29/2023,11:30:00 AM,Secchi ,1.1,
117,Little Dixie,6/29/2023,9:06:00 AM,Secchi,0.48,
117,Little Dixie ,6/29/2023,9:06:00 AM,Secchi ,0.42,
180,Bilby Ranch ,7/10/2023,4:26:00 PM,Secchi,0.57,
180,Bilby Ranch ,7/10/2023,4:26:00 PM,Secchi ,0.54,
140,Cameron 1,7/10/2023,12:15:00 PM,Secchi,0.54,
140,Cameron 1,7/10/2023,12:15:00 PM,Secchi ,0.47,
211,Cameron 2 Sunrise ,7/10/2023,11:27:00 AM,Secchi,1.35,
211,Cameron 2 Sunrise ,7/10/2023,11:27:00 AM,Secchi ,1.25,
213,Cameron 3,7/10/2023,1:00:00 PM,Secchi,0.54,
213,Cameron 3,7/10/2023,1:00:00 PM,Secchi ,0.45,
163,King ,7/10/2023,2:20:00 PM,Secchi,0.27,
163,King ,7/10/2023,2:20:00 PM,Secchi ,0.21,
133,Forest ,7/11/2023,4:31:00 PM,Secchi,1.12,
133,Forest ,7/11/2023,4:31:00 PM,Secchi ,1.01,
185,Harrison County ,7/11/2023,10:10:00 AM,Secchi,0.6,
185,Harrison County ,7/11/2023,10:10:00 AM,Secchi ,0.52,
228,Jamesport,7/11/2023,2:13:00 PM,Secchi,0.3,
228,Jamesport,7/11/2023,2:13:00 PM,Secchi ,0.24,
149,Lake of the Ozarks (LOTO) ,7/11/2023,10:00:00 AM,Secchi,2.7,
149,Lake of the Ozarks (LOTO) ,7/11/2023,10:00:00 AM,Secchi ,2.6,
85,Marie ,7/11/2023,11:55:00 AM,Secchi,3.8,
85,Marie ,7/11/2023,11:55:00 AM,Secchi ,3.68,
181,Mozingo ,7/11/2023,8:02:00 AM,Secchi,1.23,
181,Mozingo ,7/11/2023,8:02:00 AM,Secchi ,1.09,
179,Nodaway County ,7/11/2023,6:55:00 AM,Secchi,0.65,
179,Nodaway County ,7/11/2023,6:55:00 AM,Secchi ,0.59,
57,Deer Ridge,7/12/2023,10:23:00 AM,Secchi,1.4,
57,Deer Ridge,7/12/2023,10:23:00 AM,Secchi ,1.27,
182,Fox Valley,7/12/2023,8:30:00 AM,Secchi,3.56,
182,Fox Valley,7/12/2023,8:30:00 AM,Secchi ,3.37,
114,Henry Sever,7/12/2023,11:40:00 AM,Secchi,0.7,
114,Henry Sever,7/12/2023,11:40:00 AM,Secchi ,0.59,
115,Hunnewell,7/12/2023,2:18:00 PM,Secchi,1.63,
115,Hunnewell,7/12/2023,2:18:00 PM,Secchi ,1.5,
48,Long Branch ,7/12/2023,3:46:00 PM,Secchi,1.04,
48,Long Branch ,7/12/2023,3:46:00 PM,Secchi ,0.88,
49,Macon ,7/12/2023,4:45:00 PM,Secchi,0.64,
49,Macon ,7/12/2023,4:45:00 PM,Secchi ,0.53,
123,Shelbyville,7/12/2023,12:50:00 PM,Secchi,0.26,
123,Shelbyville,7/12/2023,12:50:00 PM,Secchi ,0.19,
72,Smithville,7/12/2023,10:30:00 AM,Secchi,1,
72,Smithville,7/12/2023,10:30:00 AM,Secchi ,1.1,
438,Bethel ,7/13/2023,9:30:00 AM,Secchi,0.69,
438,Bethel ,7/13/2023,9:30:00 AM,Secchi ,0.69,
411,Cedar Lake,7/13/2023,11:08:00 AM,Secchi,0.84,
411,Cedar Lake,7/13/2023,11:08:00 AM,Secchi ,0.81,
219,Dairy Lake,7/13/2023,2:10:00 PM,Secchi,0.33,
219,Dairy Lake,7/13/2023,2:10:00 PM,Secchi ,0.61,
96,Fellows,7/17/2023,3:25:00 PM,Secchi,2.88,
96,Fellows,7/17/2023,3:25:00 PM,Secchi ,2.76,
184,Manito,7/17/2023,10:07:00 AM,Secchi,1.32,
184,Manito,7/17/2023,10:07:00 AM,Secchi ,1.25,
145,Mark Twain ,7/17/2023,10:35:00 AM,Secchi,1.4,
145,Mark Twain ,7/17/2023,10:35:00 AM,Secchi ,1.3,
92,Pomme de Terre,7/17/2023,12:50:00 PM,Secchi,0.92,
92,Pomme de Terre,7/17/2023,12:50:00 PM,Secchi ,0.78,
93,Stockton,7/17/2023,5:17:00 PM,Secchi,2.15,
93,Stockton,7/17/2023,5:17:00 PM,Secchi ,1.91,
91,Atkinson,7/18/2023,11:16:48 AM,Secchi,0.38,
91,Atkinson,7/18/2023,11:16:48 AM,Secchi ,0.32,
169,Gopher,7/18/2023,2:13:00 PM,Secchi,0.4,
169,Gopher,7/18/2023,2:13:00 PM,Secchi ,0.32,
183,Hazel Hill,7/18/2023,3:45:00 PM,Secchi,0.5,
183,Hazel Hill,7/18/2023,3:45:00 PM,Secchi ,0.44,
165,Jackrabbit,7/18/2023,1:22:00 PM,Secchi,0.4,
165,Jackrabbit,7/18/2023,1:22:00 PM,Secchi ,0.32,
70,North,7/18/2023,10:06:00 AM,Secchi,0.45,
70,North,7/18/2023,10:06:00 AM,Secchi ,0.4,
120,Winnegago,7/18/2023,11:31:00 AM,Secchi,0.9,
120,Winnegago,7/18/2023,11:31:00 AM,Secchi ,0.8,
150,Blind Pony,7/19/2023,7:22:00 AM,Secchi,0.6,
150,Blind Pony,7/19/2023,7:22:00 AM,Secchi ,0.49,
87,Brookfield,7/19/2023,2:00:00 PM,Secchi,1.4,
87,Brookfield,7/19/2023,2:00:00 PM,Secchi ,1.26,
45,Nehai Tonkayea,7/19/2023,3:26:00 PM,Secchi,2.7,
45,Nehai Tonkayea,7/19/2023,3:26:00 PM,Secchi ,2.53,
98,Table Rock ,7/19/2023,12:00:00 PM,Secchi,3.2,
98,Table Rock ,7/19/2023,12:00:00 PM,Secchi ,3.1,
74,Watkins ,7/19/2023,10:39:00 AM,Secchi,0.8,
74,Watkins ,7/19/2023,10:39:00 AM,Secchi ,0.75,
455,West Arrowhead,7/19/2023,11:53:00 AM,Secchi,0.49,
455,West Arrowhead,7/19/2023,11:53:00 AM,Secchi ,0.4,
274,Alpine,7/20/2023,3:24:00 PM,Secchi,3.51,
274,Alpine,7/20/2023,3:24:00 PM,Secchi ,3.4,
276,Ashland ,7/20/2023,9:42:00 AM,Secchi,0.9,
276,Ashland ,7/20/2023,9:42:00 AM,Secchi ,0.87,
11,Peaceful Valley,7/20/2023,12:34:00 PM,Secchi,1.1,
11,Peaceful Valley ,7/20/2023,12:34:00 PM,Secchi ,1,
88,Marceline,7/21/2023,11:58:00 AM,Secchi,1.2,
88,Marceline,7/21/2023,11:58:00 AM,Secchi ,1,
44,Peter's Lake,7/21/2023,10:00:00 AM,Secchi,1,
44,Peter's Lake,7/21/2023,10:00:00 AM,Secchi ,0.65,
3,Bowling Green,7/24/2023,10:42:00 AM,Secchi,1.07,
3,Bowling Green,7/24/2023,10:42:00 AM,Secchi ,0.97,
454,Cedar Hill Lakes #1,7/24/2023,3:16:00 PM,Secchi,0.83,
454,Cedar Hill Lakes #1,7/24/2023,3:16:00 PM,Secchi ,0.75,
5,Lincoln ,7/24/2023,12:05:00 PM,Secchi,1.83,
5,Lincoln ,7/24/2023,12:05:00 PM,Secchi ,1.65,
197,Prarie ,7/24/2023,1:30:00 PM,Secchi,0.67,
197,Prarie ,7/24/2023,1:30:00 PM,Secchi ,0.56,
14,Tishomingo ,7/24/2023,4:18:00 PM,Secchi,2,
14,Tishomingo ,7/24/2023,4:18:00 PM,Secchi ,1.27,
18,Capri,7/25/2023,9:23:00 AM,Secchi,4.4,
18,Capri,7/25/2023,9:23:00 AM,Secchi ,4.24,
186,Carl DiSalvo ,7/25/2023,11:42:00 AM,Secchi,0.33,
186,Carl DiSalvo ,7/25/2023,11:42:00 AM,Secchi ,0.29,
36,Clearwater,7/25/2023,2:30:00 PM,Secchi,1.48,
36,Clearwater,7/25/2023,2:30:00 PM,Secchi ,1.39,
21,Goose Creek,7/25/2023,7:30:00 AM,Secchi,2.14,
21,Goose Creek,7/25/2023,7:30:00 AM,Secchi ,2,
112,Shayne,7/25/2023,10:23:00 AM,Secchi,3.01,
112,Shayne,7/25/2023,10:23:00 AM,Secchi ,2.81,
30,Wappapello,7/25/2023,4:54:00 PM,Secchi,0.3,
30,Wappapello,7/25/2023,4:54:00 PM,Secchi ,0.23,
39,Council Bluff,7/26/2023,1:07:00 PM,Secchi,3.31,Hard to tell secchi number with big waves
39,Council Bluff,7/26/2023,1:07:00 PM,Secchi ,3.09,
33,Fourche Lake,7/26/2023,8:08:00 AM,Secchi,4.74,
33,Fourche Lake,7/26/2023,8:08:00 AM,Secchi ,4.63,
110,Little Prarie,7/26/2023,4:30:00 PM,Secchi,1.18,
110,Little Prarie,7/26/2023,4:30:00 PM,Secchi ,1.05,
32,Ripley,7/26/2023,9:24:00 AM,Secchi,1.43,
32,Ripley,7/26/2023,9:24:00 AM,Secchi ,1.32,
411,Cedar Lake,7/27/2023,10:45:00 AM,Secchi,0.72,
